Date;Heure;prod_eolienne_MWh;prod_solaire_MWh
2024-06-04;11:00;536;6271
2024-06-04;14:00;1493;6163
2024-06-04;16:00;2085;5496
2024-06-05;00:00;3294;1
2024-06-05;03:00;1976;0
2024-06-05;10:00;489;5255
2024-06-05;15:00;2154;5523
2024-06-05;20:00;2071;502
2024-06-06;04:00;864;0
2024-06-06;06:00;995;153
2024-06-06;13:00;964;6416
2024-06-06;17:00;1408;4641
2024-06-06;18:00;1498;3181
2024-06-07;11:00;279;5215
2024-06-07;14:00;691;5503
2024-06-07;19:00;804;1437
2024-06-07;22:00;1462;1
2024-06-07;23:00;1768;0
2024-06-08;02:00;2021;0
2024-06-08;09:00;985;2493
2024-06-08;11:00;606;2115
2024-06-08;16:00;1437;2202
2024-06-08;17:00;2554;3099
2024-06-08;21:00;2328;57
2024-06-09;04:00;2800;0
2024-06-09;20:00;4201;433
2024-06-09;23:00;4281;0
2024-06-10;10:00;5611;4996
2024-06-10;11:00;6506;5713
2024-06-10;19:00;5635;1522
2024-06-10;20:00;4862;478
2024-06-11;02:00;1710;0
2024-06-11;03:00;1543;0
2024-06-11;05:00;1453;3
2024-06-11;09:00;898;3458
2024-06-11;10:00;960;4555
2024-06-11;16:00;2775;4671
2024-06-11;23:00;2340;0
2024-06-12;06:00;1470;141
2024-06-12;13:00;979;6018
2024-06-12;17:00;1374;3869
2024-06-12;19:00;1457;1559
2024-06-12;22:00;1211;0
2024-06-12;23:00;1181;0
2024-06-13;06:00;1202;147
2024-06-13;07:00;1221;912
2024-06-13;18:00;3801;2876
2024-06-13;23:00;4642;2
2024-06-14;01:00;6104;2
2024-06-14;02:00;5891;1
2024-06-14;11:00;6253;3861
2024-06-14;13:00;7723;4587
2024-06-14;20:00;7794;313
2024-06-14;22:00;7209;3
2024-06-15;05:00;10780;1
2024-06-15;13:00;6520;2457
2024-06-15;15:00;6362;2307
2024-06-15;18:00;8838;2454
2024-06-15;20:00;6918;489
2024-06-15;21:00;6575;62
2024-06-15;23:00;6839;0
2024-06-16;01:00;6523;0
2024-06-16;02:00;6638;0
2024-06-16;15:00;3817;2691
2024-06-16;20:00;3309;418
2024-06-17;02:00;2736;1
2024-06-17;10:00;1404;4031
2024-06-17;11:00;1568;4842
2024-06-17;19:00;928;1533
2024-06-17;20:00;863;507
2024-06-17;22:00;1446;2
2024-06-18;00:00;2215;1
2024-06-18;02:00;2238;0
2024-06-18;05:00;2374;2
2024-06-18;08:00;1878;1685
2024-06-18;22:00;2532;3
2024-06-19;10:00;3306;3126
2024-06-19;13:00;3726;4901
2024-06-19;14:00;3706;4784
2024-06-19;15:00;3454;4224
2024-06-19;17:00;4131;3258
2024-06-19;18:00;4761;2241
2024-06-19;22:00;5365;0
2024-06-21;08:00;1485;1131
2024-06-21;09:00;1830;1991
2024-06-21;10:00;2083;2947
2024-06-21;20:00;4212;514
2024-06-21;23:00;3717;0
2024-06-22;04:00;4936;0
2024-06-22;12:00;2828;4027
2024-06-22;13:00;2945;4274
2024-06-22;14:00;3208;4271
2024-06-22;19:00;3566;1021
2024-06-22;23:00;2102;0
2024-06-23;03:00;1966;0
2024-06-23;07:00;1575;701
2024-06-24;03:00;2533;1
2024-06-24;06:00;2568;127
2024-06-24;08:00;1292;2332
2024-06-24;10:00;1209;5590
2024-06-24;17:00;2001;4404
2024-06-25;01:00;4659;0
2024-06-25;09:00;409;4056
2024-06-25;11:00;625;6467
2024-06-25;13:00;825;3567
2024-06-25;22:00;2725;2
2024-06-26;12:00;108;6855
2024-06-26;19:00;579;1756
2024-06-26;23:00;883;0
2024-06-27;11:00;1157;5500
2024-06-27;12:00;1751;6091
2024-06-27;13:00;2427;6396
2024-06-27;15:00;3164;6049
2024-06-28;02:00;2813;0
2024-06-28;04:00;2408;0
2024-06-28;10:00;1205;4469
2024-06-28;11:00;1003;5676
2024-06-28;18:00;922;2888
2024-06-29;01:00;3541;0
2024-06-29;17:00;3369;1801
2024-06-30;02:00;3235;0
2024-06-30;05:00;3091;0
2024-06-30;06:00;3149;74
2024-06-30;07:00;3044;519
2024-06-30;08:00;2580;1439
2024-06-30;18:00;2079;2669
2024-06-30;19:00;2026;1483
2024-06-30;20:00;1951;524
2024-07-01;05:00;1257;1
2024-07-01;07:00;1166;579
2024-07-01;16:00;3462;4791
2024-07-01;19:00;3698;1528
2024-07-01;21:00;2908;62
2024-07-02;01:00;2137;1
2024-07-02;02:00;1974;0
2024-07-02;07:00;1659;538
2024-07-02;12:00;2250;4280
2024-07-03;01:00;1412;0
2024-07-03;04:00;1227;0
2024-07-03;05:00;1231;1
2024-07-03;07:00;1364;635
2024-07-03;15:00;5034;5544
2024-07-03;23:00;4569;2
2024-07-04;03:00;3539;1
2024-07-04;09:00;5400;2821
2024-07-04;13:00;3627;3089
2024-07-04;15:00;4141;3125
2024-07-04;16:00;4384;2875
2024-07-04;21:00;4277;68
2024-07-05;01:00;3045;2
2024-07-05;04:00;2090;0
2024-07-05;08:00;2077;2201
2024-07-05;15:00;3424;6645
2024-07-05;21:00;2523;69
2024-07-06;01:00;5205;2
2024-07-06;08:00;9411;1002
2024-07-06;16:00;5230;1486
2024-07-06;19:00;8166;1107
2024-07-06;21:00;5216;59
2024-07-07;04:00;2822;0
2024-07-07;10:00;1298;2698
2024-07-07;11:00;1639;3042
2024-07-07;15:00;2320;3204
2024-07-07;16:00;2183;2933
2024-07-07;19:00;2574;1768
2024-07-07;22:00;1196;3
2024-07-08;00:00;921;2
2024-07-08;01:00;722;2
2024-07-08;04:00;325;0
2024-07-08;07:00;655;721
2024-07-08;11:00;872;6387
2024-07-08;16:00;1086;6087
2024-07-08;23:00;3279;0
2024-07-09;01:00;3676;0
2024-07-09;04:00;4045;0
2024-07-09;07:00;3822;674
2024-07-09;14:00;4051;5797
2024-07-09;18:00;4320;2370
2024-07-09;19:00;3013;1184
2024-07-09;22:00;1868;2
2024-07-10;05:00;2051;0
2024-07-10;17:00;2732;4043
2024-07-11;05:00;791;0
2024-07-11;13:00;345;6162
2024-07-12;09:00;3493;1807
2024-07-12;13:00;2758;4538
2024-07-12;18:00;3189;2851
2024-07-13;07:00;784;692
2024-07-13;16:00;326;2978
2024-07-14;02:00;350;0
2024-07-14;16:00;262;2725
2024-07-14;17:00;356;4019
2024-07-15;09:00;1911;2995
2024-07-15;10:00;2166;3727
2024-07-15;13:00;3405;4957
2024-07-15;16:00;4587;4564
2024-07-16;07:00;5946;572
2024-07-16;09:00;6743;3131
2024-07-17;01:00;2083;0
2024-07-17;07:00;703;630
2024-07-17;13:00;235;7200
2024-07-17;19:00;283;1772
2024-07-18;06:00;1431;72
2024-07-18;12:00;356;7298
2024-07-18;13:00;370;7546
2024-07-18;15:00;232;7183
2024-07-19;08:00;952;1576
2024-07-19;13:00;324;6743
2024-07-20;05:00;900;0
2024-07-20;06:00;925;63
2024-07-20;16:00;1567;5239
2024-07-20;21:00;2035;25
2024-07-21;02:00;2129;0
2024-07-21;05:00;2427;0
2024-07-21;11:00;1502;3025
2024-07-21;15:00;1760;2058
2024-07-21;22:00;4197;3
2024-07-22;02:00;3019;1
2024-07-22;05:00;2484;0
2024-07-22;15:00;3467;5813
2024-07-22;16:00;3655;5253
2024-07-23;08:00;4671;1693
2024-07-23;09:00;5047;3253
2024-07-23;10:00;5430;4529
2024-07-23;14:00;6092;6454
2024-07-23;18:00;5026;3240
2024-07-23;22:00;1867;3
2024-07-23;23:00;1664;2
2024-07-24;02:00;1021;1
2024-07-24;03:00;968;0
2024-07-24;04:00;920;0
2024-07-24;08:00;619;1654
2024-07-24;16:00;745;6280
2024-07-24;17:00;784;5161
2024-07-24;19:00;858;1753
2024-07-25;00:00;1170;1
2024-07-25;02:00;1103;0
2024-07-26;02:00;1823;0
2024-07-26;05:00;1330;0
2024-07-26;07:00;960;440
2024-07-26;08:00;633;1574
2024-07-26;11:00;264;5774
2024-07-26;12:00;333;6229
2024-07-26;17:00;492;4221
2024-07-27;00:00;290;0
2024-07-27;10:00;389;3497
2024-07-28;04:00;1749;0
2024-07-28;05:00;1756;0
2024-07-28;07:00;2097;447
2024-07-28;10:00;1476;4390
2024-07-28;15:00;1149;3565
2024-07-29;04:00;4561;0
2024-07-29;06:00;4236;37
2024-07-29;18:00;1038;3318
2024-07-29;20:00;1350;374
2024-07-30;07:00;1048;492
2024-07-30;09:00;317;3187
2024-07-30;12:00;281;6573
2024-07-30;16:00;476;4904
2024-07-30;20:00;1238;347
2024-07-31;00:00;2221;0
2024-07-31;02:00;1796;0
2024-07-31;04:00;1862;0
2024-07-31;08:00;2034;1360
2024-07-31;15:00;321;6410
2024-07-31;16:00;443;5767
2024-07-31;19:00;1525;1335
2024-07-31;21:00;1361;18
2024-08-01;00:00;1450;1
2024-08-01;05:00;1748;0
2024-08-01;13:00;1185;5676
2024-08-01;15:00;2043;5733
2024-08-02;00:00;1319;1
2024-08-02;03:00;860;0
2024-08-02;05:00;852;0
2024-08-02;11:00;452;5520
2024-08-02;12:00;561;6316
2024-08-02;13:00;815;6559
2024-08-02;16:00;3049;5070
2024-08-02;19:00;3641;1177
2024-08-03;00:00;3383;0
2024-08-03;13:00;2498;6060
2024-08-03;18:00;3051;3044
2024-08-03;20:00;2471;307
2024-08-03;21:00;2210;12
2024-08-04;03:00;1890;0
2024-08-04;13:00;878;3402
2024-08-04;16:00;1403;5386
2024-08-04;17:00;1347;4751
2024-08-04;23:00;1073;2
2024-08-05;00:00;859;2
2024-08-05;01:00;766;2
2024-08-05;09:00;302;3820
2024-08-05;13:00;401;7622
2024-08-06;01:00;1316;0
2024-08-06;07:00;718;393
2024-08-06;10:00;383;4722
